regime,ema_state,ema_slope,swing,rsi_state,stoch_state,atr_state,vwap_state,direction,params,n_IS,wins,wr_IS,exp_R_IS,n_OOS,wr_OOS,exp_R_OOS
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI14_SK21SS5SD5_ATR14,39,30,0.7692,1.3077,10.0,0.7,1.1
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI7_SK21SS5SD5_ATR7,26,20,0.7692,1.3077,5.0,0.6,0.8
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI7_SK5SS3SD3_ATR21,56,43,0.7679,1.3036,11.0,0.7273,1.1818
bull,1,1,1,overbought,overbought,neutral,1,LONG,EMA21_RSI7_SK21SS5SD5_ATR7,30,23,0.7667,1.3,9.0,0.4444,0.3333
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI14_SK21SS5SD5_ATR7,34,26,0.7647,1.2941,9.0,0.6667,1.0
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI21_SK21SS5SD5_ATR14,34,26,0.7647,1.2941,10.0,0.6,0.8
bull,-1,-1,-1,weak,weak,neutral,-1,SHORT,EMA50_RSI21_SK5SS3SD3_ATR14,68,52,0.7647,1.2941,30.0,0.6,0.8
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR21,85,65,0.7647,1.2941,20.0,0.7,1.1
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR21,34,26,0.7647,1.2941,5.0,0.8,1.4
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK14SS3SD3_ATR7,38,29,0.7632,1.2895,15.0,0.7333,1.2
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI14_SK14SS3SD3_ATR21,21,16,0.7619,1.2857,2.0,0.5,0.5
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK21SS5SD5_ATR14,21,16,0.7619,1.2857,5.0,0.8,1.4
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA50_RSI21_SK21SS5SD5_ATR14,21,16,0.7619,1.2857,6.0,0.8333,1.5
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI14_SK21SS5SD5_ATR7,21,16,0.7619,1.2857,7.0,0.5714,0.7143
bear,1,1,1,strong,weak,neutral,1,LONG,EMA21_RSI14_SK21SS5SD5_ATR7,21,16,0.7619,1.2857,7.0,0.5714,0.7143
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR21,63,48,0.7619,1.2857,15.0,0.8,1.4
bear,-1,-1,0,oversold,oversold,neutral,-1,SHORT,EMA50_RSI7_SK21SS5SD5_ATR7,21,16,0.7619,1.2857,8.0,0.5,0.5
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI14_SK14SS3SD3_ATR21,21,16,0.7619,1.2857,2.0,0.5,0.5
bear,-1,-1,0,weak,weak,neutral,1,SHORT,EMA50_RSI14_SK5SS3SD3_ATR7,21,16,0.7619,1.2857,6.0,0.3333,-0.0
bull,-1,-1,-1,strong,strong,neutral,1,SHORT,EMA100_RSI7_SK5SS3SD3_ATR21,21,16,0.7619,1.2857,4.0,0.75,1.25
bull,-1,-1,0,weak,strong,expansion,-1,SHORT,EMA21_RSI14_SK14SS3SD3_ATR7,21,16,0.7619,1.2857,10.0,0.5,0.5
bear,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI21_SK21SS5SD5_ATR7,21,16,0.7619,1.2857,6.0,0.3333,-0.0
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR14,67,51,0.7612,1.2836,18.0,0.6667,1.0
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR7,25,19,0.76,1.28,3.0,0.3333,-0.0
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA50_RSI7_SK14SS3SD3_ATR7,25,19,0.76,1.28,4.0,0.75,1.25
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR21,25,19,0.76,1.28,4.0,0.75,1.25
bull,-1,-1,0,oversold,weak,neutral,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR14,25,19,0.76,1.28,3.0,0.6667,1.0
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI14_SK21SS5SD5_ATR14,25,19,0.76,1.28,9.0,0.6667,1.0
bull,-1,-1,-1,oversold,weak,neutral,-1,SHORT,EMA100_RSI7_SK14SS3SD3_ATR14,25,19,0.76,1.28,6.0,0.8333,1.5
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI21_SK21SS5SD5_ATR14,79,60,0.7595,1.2785,12.0,0.75,1.25
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI21_SK21SS5SD5_ATR21,83,63,0.759,1.2771,12.0,0.75,1.25
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA200_RSI21_SK21SS5SD5_ATR7,29,22,0.7586,1.2759,7.0,0.4286,0.2857
